clé    1 year ago
cleachtadh    1 year ago
cliabhrach    1 year ago
cliath    1 year ago
cliste    3 months ago
cloch    1 year ago
cloch    1 year ago
clog    1 year ago
cloiseann    1 year ago
cloisfidh    1 year ago
cloisim    1 year ago
cloisimid    1 year ago
cloisteáil    1 year ago
clóscríobhadh    1 year ago
clóscríobhaim    1 year ago
clóscríobhann    1 year ago
clóscríobhfaidh    1 year ago
cluas    1 year ago
club    1 year ago
clúdaigh    1 year ago
cluiche    1 year ago
cluichí    8 months ago
cnoic    1 year ago
cócaire    1 year ago
cócairí    1 year ago
codlaím    1 year ago
codlaímid    1 year ago
codlaíonn    1 year ago
codlóidh    1 year ago
cogadh    1 year ago
coicís    1 year ago
coillte    1 year ago
coincheap    1 year ago
coinín    1 month ago
coinne    1 year ago
coinneal    1 year ago
coinsias    1 year ago
cóireáil    1 year ago
coiriúlacht    1 year ago
coirp    1 year ago
coiste    1 year ago
coitianta    1 year ago
col    6 months ago
coláiste    1 year ago
comhair    1 week ago
comhaireann    1 year ago
comhairimid    1 year ago
comhairle    1 year ago
comhartha    1 year ago
comhghairdeas    2 months ago
comhlacht    1 year ago
comhrá    1 year ago
comórtas    1 year ago
cónaí    10 months ago
conas    1 month ago
conradh    1 year ago
córas    1 year ago
corcaigh    1 year ago
corcra    1 year ago
corn    1 year ago
corp    1 year ago
cosa    1 year ago
cosaint    1 year ago
cosán    1 year ago
cosnaíonn    1 year ago
cósta    1 year ago
costas    1 year ago
costasach    1 year ago
cosúil    1 year ago
cóta    1 year ago
craiceann    1 year ago
crann    1 year ago
cré    1 year ago
creideamh    1 year ago
creideann    1 year ago
creidfidh    1 year ago
creidfimid    1 year ago
creidim    1 year ago
creidmheasa    1 year ago
cróga    2 months ago
croí    1 year ago
crua    1 year ago
cruinniú    1 year ago
cruit    1 year ago
cruth    1 year ago
cruthaím    1 year ago
cruthaímid    1 year ago
cruthanna    1 year ago
cú    1 year ago
cuardaímid    1 year ago
cuardaíonn    1 year ago
cuid    1 year ago
cúig    1 month ago
cúigear    6 months ago
cuimhne    1 year ago
cuimhním    1 year ago
cúinne    1 year ago
cuireann    1 year ago
cuirfidh    1 year ago
cuirimid    1 year ago
cúirt    1 year ago
cuisneoir    1 year ago
cúl    1 year ago
culaith    1 year ago
cultúr    1 year ago
cúlú    1 year ago
cumann    1 year ago
cumarsáid    1 year ago
cúnna    1 year ago
cuntas    1 year ago
cupán    1 year ago
cur    8 months ago
cur    1 year ago
cúrsa    1 year ago
cúrsaí    1 year ago
cuspóir    1 year ago
cúthail    1 year ago
d'    1 year ago
d'aontaigh    10 months ago
d'aontaíomar    1 year ago
d'éist    1 year ago
d'éisteamar    1 year ago
d'fhág    1 year ago
d'fhágamar    1 year ago
d'fhaigheadh    1 year ago
d'fhaighidís    1 year ago
d'fhaighinn    1 year ago
d'fhan    1 year ago
d'fhás    1 year ago
d'fhéach    1 year ago
d'fhéachamar    1 year ago
d'fhiafraigh    1 year ago
d'fhill    1 year ago
d'fhreagair    1 year ago
d'imigh    1 year ago
d'imíomar    1 year ago
d'imir    1 year ago
d'imrímis    1 year ago
d'imrínn    1 year ago
d'imríodh    1 year ago
d'imríomar    1 year ago
d'inis    1 year ago
d'insínn    1 year ago
d'insíodh    1 year ago
d'ith    1 year ago
d'itheadh    1 year ago
d'itheamar    1 year ago
d'ithinn    1 year ago
d'oibrigh    1 year ago
d'ol    1 year ago
d'ól    1 year ago
d'óladh    1 year ago
d'ólaimis    1 year ago
d'ólainn    1 year ago
d'olamar    1 year ago
d'ólamar    1 year ago
d'oscail    1 year ago
d'ullmhaigh    1 year ago
d'ullmhaíomar    1 year ago
d'úsáid    1 year ago
d'úsáideamar    1 year ago
dabht    7 months ago
daichead    6 months ago
daidí    1 year ago
dáil    1 year ago
dála    21 hours ago
dalta    1 year ago
daltaí    1 year ago
damáiste    1 year ago
damhán    1 month ago
dánlann    1 year ago
daoibh    1 month ago
daoine    1 year ago
daonna    1 year ago
daonra    1 year ago
dár    8 months ago
dara    6 months ago
dáta    1 year ago
dátaí    1 year ago
dath    1 year ago
dathanna    1 year ago
dátheangach    1 year ago
dé    3 weeks ago
de    2 months ago
deacair    1 year ago
deacra    1 year ago
deacracht    1 year ago
deacrachtaí    1 year ago
déag    6 months ago
déan    1 year ago
déanaí    1 year ago
déanaigí    1 year ago
déanaim    1 year ago
déanaimid    1 year ago
déanamh    1 year ago
déanann    1 year ago
déanfaidh    1 year ago
déanfaimid    1 year ago
déantar    7 months ago
dearcadh    1 year ago
dearcthaí    1 year ago
déardaoin    1 year ago
dearfach    1 year ago
dearg    1 year ago
dearmad    9 months ago
deartháir    1 year ago
deartháireacha    1 year ago
deas    1 year ago
deatach    2 months ago
deich    8 months ago
deichniúr    6 months ago
deir    1 year ago
deireadh    1 year ago
deireanach    1 year ago
deirfiúr    1 year ago
deis    1 year ago
deisceart    1 year ago
deiseanna    1 year ago
déithe    1 year ago
den    1 year ago
deoir    1 year ago
deora    1 year ago
dhá    1 year ago
dhaidí    1 year ago
dhaite    8 months ago
dhaltaí    1 year ago
dháréag    6 months ago
dheacair    1 year ago
dheachaigh    1 year ago
dheacra    1 year ago
dhéag    6 months ago
dhéanadh    1 year ago
dhéanaimis    1 year ago
dhéanainn    1 year ago
